Suject;Condicion;Attempt;Accuracy;response_time;Accuracy_Congruent;response_time_Congruent;Accuracy_Incongruent;response_time_Incongruent;low;high
Vol_01;CO;T1;100;1025;100;900;100;1075;0;5
Vol_01;CO;T2;94.92;1059;100;970;92.68;1098;0;2
Vol_01;FM;T1;92.98;968;100;881;89.74;1008;0;4
Vol_01;FM;T2;94.83;912;100;830;92.68;947;0;3
Vol_02;CO;T1;100;909;100;835;100;938;0;2
Vol_02;CO;T2;100;891;100;791;100;932;0;2
Vol_02;FM;T1;96.61;978;94.44;895;97.56;1015;0;2
Vol_02;FM;T2;100;922;100;888;100;937;0;3
Vol_03;CO;T1;94.83;1195;100;1061;92.68;1251;0;3
Vol_03;CO;T2;100;1301;100;1110;100;1387;0;3
Vol_03;FM;T1;98.25;1487;100;1258;97.5;1585;0;4
Vol_03;FM;T2;98.31;1421;100;1179;97.62;1520;0;2
Vol_04;CO;T1;98.33;755;100;673;97.62;791;0;1
Vol_04;CO;T2;98.28;691;100;663;97.56;703;0;3
Vol_04;FM;T1;96.67;756;94.44;717;97.62;772;0;1
Vol_04;FM;T2;100;728;100;747;100;720;0;1
Vol_05;CO;T1;100;1385;100;1271;100;1434;0;4
Vol_05;CO;T2;98.31;1147;100;1007;97.67;1199;0;2
Vol_05;FM;T1;100;1623;100;1498;100;1678;0;2
Vol_05;FM;T2;100;1467;100;1286;100;1539;0;5
Vol_06;CO;T1;100;840;100;822;100;847;0;4
Vol_06;CO;T2;100;844;100;829;100;850;0;2
Vol_06;FM;T1;100;928;100;956;100;916;1;2
Vol_06;FM;T2;100;908;100;859;100;930;0;3
Vol_07;CO;T1;100;1194;100;1164;100;1206;0;1
Vol_07;CO;T2;100;1063;100;941;100;1112;0;1
Vol_07;FM;T1;100;1169;100;1151;100;1177;0;2
Vol_07;FM;T2;100;1154;100;1148;100;1156;0;2
Vol_08;CO;T1;96.67;854;100;778;95.24;886;0;1
Vol_08;CO;T2;98.31;825;100;772;97.56;848;0;2
Vol_08;FM;T1;98.25;750;100;722;97.5;762;0;4
Vol_08;FM;T2;98.31;808;100;722;97.56;846;0;2
Vol_09;CO;T1;100;703;100;715;100;698;0;3
Vol_09;CO;T2;100;686;100;658;100;699;0;2
Vol_09;FM;T1;98.28;717;100;656;97.56;742;0;3
Vol_09;FM;T2;98.31;792;100;724;97.62;819;0;2
Vol_10;CO;T1;94.83;2582;100;1707;92.5;2976;0;3
Vol_10;CO;T2;100;1625;100;1293;100;1774;0;3
Vol_10;FM;T1;100;1524;100;1248;100;1638;0;3
Vol_10;FM;T2;100;1215;100;1204;100;1219;0;2
Vol_11;CO;T1;98.33;790;100;785;97.62;792;0;1
Vol_11;CO;T2;100;838;100;803;100;853;0;1
Vol_11;FM;T1;100;872;100;832;100;887;0;3
Vol_11;FM;T2;100;810;100;791;100;818;0;1
Vol_12;CO;T1;98.31;778;100;719;97.62;802;1;2
Vol_12;CO;T2;100;752;100;722;100;765;1;2
Vol_12;FM;T1;100;783;100;716;100;810;0;5
Vol_12;FM;T2;100;732;100;711;100;741;0;3
Vol_13;CO;T1;91.23;1121;100;890;87.5;1220;0;4
Vol_13;CO;T2;93.1;1299;100;1038;90.24;1407;0;3
Vol_13;FM;T1;92.98;1179;100;1020;90.24;1240;0;4
Vol_13;FM;T2;96.55;1124;100;998;95.24;1173;0;3
Vol_14;CO;T1;98.31;886;94.44;801;100;923;0;2
Vol_14;CO;T2;100;830;100;738;100;867;0;1
Vol_14;FM;T1;100;937;100;931;100;940;0;4
Vol_14;FM;T2;100;863;100;739;100;913;0;2
Vol_15;CO;T1;98.31;865;100;802;97.62;890;0;2
Vol_15;CO;T2;98.31;823;100;813;97.62;827;0;2
Vol_15;FM;T1;100;942;100;861;100;974;0;1
Vol_15;FM;T2;100;844;100;840;100;845;0;2
Vol_16;CO;T1;100;1112;100;1044;100;1144;0;4
Vol_16;CO;T2;100;1082;100;1098;100;1075;0;1
Vol_16;FM;T1;98.28;1366;100;1324;97.62;1381;0;3
Vol_16;FM;T2;100;1146;100;1042;100;1192;0;2
Vol_17;CO;T1;100;1035;100;908;100;1091;0;2
Vol_17;CO;T2;100;942;100;832;100;989;0;1
Vol_17;FM;T1;96.55;1033;100;928;95.12;1077;0;3
Vol_17;FM;T2;100;941;100;865;100;971;0;2
Vol_18;CO;T1;100;731;100;715;100;738;0;3
Vol_18;CO;T2;100;737;100;719;100;745;0;3
Vol_18;FM;T1;98.33;723;94.12;650;100;752;1;1
Vol_18;FM;T2;96.55;734;100;682;95.12;756;0;3
Vol_19;CO;T1;98.28;1091;100;947;97.5;1156;1;3
Vol_19;CO;T2;100;1220;100;1169;100;1241;0;3
Vol_19;FM;T1;100;1042;100;1021;100;1051;0;3
Vol_19;FM;T2;100;1068;100;978;100;1107;0;1
Vol_20;CO;T1;94.83;993;88.24;859;97.56;1048;0;3
Vol_20;CO;T2;98.33;1004;94.12;924;100;1035;0;1
Vol_20;FM;T1;98.28;908;100;833;97.62;936;0;3
Vol_20;FM;T2;100;870;100;792;100;906;0;4
