Suject;Condicion;Attempt;Accuracy;response_time;Accuracy_Congruent;response_time_Congruent;Accuracy_Incongruent;response_time_Incongruent;low;high
Vol_01;FA;T1;100;1114;100;1019;100;1152;0;1
Vol_01;FA;T2;93.1;1255;100;1141;90.24;1303;0;3
Vol_01;FA;T3;89.47;1081;100;1044;84.62;1099;0;4
Vol_01;FA;T4;91.67;1075;94.44;928;90.48;1137;0;1
Vol_01;FA;T5;98.28;1113;100;1075;97.62;1127;0;3
Vol_01;TR;T1;98.25;1084;100;937;97.56;1141;0;4
Vol_01;TR;T2;98.25;1010;100;961;97.44;1032;0;4
Vol_02;FA;T1;96.61;1076;94.44;1041;97.56;1091;0;2
Vol_02;FA;T2;100;1035;100;1064;100;1022;0;3
Vol_02;FA;T3;100;1041;100;1123;100;1005;0;2
Vol_02;FA;T4;98.28;1031;94.12;1014;100;1037;0;3
Vol_02;FA;T5;100;1040;100;981;100;1061;0;3
Vol_02;TR;T1;98.28;1029;93.33;983;100;1045;0;3
Vol_02;TR;T2;100;914;100;808;100;963;0;4
Vol_03;FA;T1;94.83;2512;100;2404;92.86;2553;0;3
Vol_03;FA;T2;94.83;2099;100;2180;92.68;2065;0;3
Vol_03;FA;T3;93.1;1742;100;1766;90;1732;0;3
Vol_03;FA;T4;95;1604;100;1671;92.86;1575;0;1
Vol_03;FA;T5;100;1304;100;1003;100;1426;0;2
Vol_03;TR;T1;91.23;1691;100;1568;87.18;1747;0;4
Vol_03;TR;T2;96.61;1442;100;1237;95.12;1531;0;2
Vol_04;FA;T1;98.28;922;93.75;932;100;918;0;3
Vol_04;FA;T2;96.61;785;93.75;761;97.67;793;0;2
Vol_04;FA;T3;96.61;657;94.12;681;97.62;647;0;2
Vol_04;FA;T4;96.61;701;100;692;95.24;704;0;2
Vol_04;FA;T5;94.92;742;100;686;92.68;767;0;2
Vol_04;TR;T1;94.92;679;94.12;703;95.24;669;0;2
Vol_04;TR;T2;96.61;710;94.12;687;97.62;719;0;2
Vol_05;FA;T1;98.33;2127;100;1954;97.62;2201;0;1
Vol_05;FA;T2;100;1583;100;1502;100;1620;0;3
Vol_05;FA;T3;100;1374;100;1286;100;1413;0;2
Vol_05;FA;T4;100;1068;100;997;100;1097;0;2
Vol_05;FA;T5;100;1253;100;1139;100;1300;0;3
Vol_05;TR;T1;88.14;1774;100;1646;83.33;1825;0;2
Vol_05;TR;T2;100;1318;100;1163;100;1386;0;2
Vol_06;FA;T1;100;1028;100;959;100;1059;0;3
Vol_06;FA;T2;100;885;100;883;100;886;0;3
Vol_06;FA;T3;100;889;100;867;100;898;0;1
Vol_06;FA;T4;100;880;100;924;100;862;0;4
Vol_06;FA;T5;100;925;100;999;100;895;0;3
Vol_06;TR;T1;100;866;100;806;100;893;0;3
Vol_06;TR;T2;98.31;794;100;836;97.62;778;0;2
Vol_07;FA;T1;100;1488;100;1399;100;1527;0;2
Vol_07;FA;T2;100;1280;100;1193;100;1315;0;2
Vol_07;FA;T3;100;1093;100;1144;100;1071;0;1
Vol_07;FA;T4;100;1137;100;1087;100;1160;0;2
Vol_07;FA;T5;100;1071;100;1065;100;1073;0;4
Vol_07;TR;T1;100;1209;100;1031;100;1280;0;1
