cod;moment;condicion;scale_QS;scale_FP;scale_FM;scale_Stress;scale_mood;scale_Motivation
1;pre;Smartphone;4;3;3;4;4;4
2;pre;Smartphone;4;4;3;3;4;4
3;pre;Smartphone;4;4;4;3;4;4
4;pre;Smartphone;4;3;3;4;4;4
5;pre;Smartphone;4;3;3;4;4;4
6;pre;Smartphone;3;3;3;3;4;4
7;pre;Smartphone;4;4;3;4;4;4
8;pre;Smartphone;3;3;3;4;4;4
9;pre;Smartphone;3;3;3;3;4;4
10;pre;Smartphone;3;3;3;3;4;3
11;pre;Smartphone;3;4;3;4;4;4
12;pre;Smartphone;5;5;4;4;5;4
13;pre;Smartphone;5;2;2;2;3;1
14;pre;Smartphone;4;3;3;4;4;4
15;pre;Smartphone;4;3;3;3;4;4
16;pre;Smartphone;4;4;3;3;4;4
17;pre;Smartphone;2;2;2;3;3;4
18;pre;Smartphone;5;4;4;4;5;4
19;pre;Smartphone;4;4;4;3;4;4
20;pre;Smartphone;3;3;3;3;4;4
1;pos;Smartphone;;;3;4;4;4
2;pos;Smartphone;;;3;3;4;4
3;pos;Smartphone;;;4;3;4;4
4;pos;Smartphone;;;3;3;4;4
5;pos;Smartphone;;;3;3;4;4
6;pos;Smartphone;;;3;3;4;3
7;pos;Smartphone;;;3;4;4;4
8;pos;Smartphone;;;2;3;5;4
9;pos;Smartphone;;;3;3;4;
10;pos;Smartphone;;;3;3;4;4
11;pos;Smartphone;;;4;5;5;5
12;pos;Smartphone;;;3;3;4;4
13;pos;Smartphone;;;2;2;3;3
14;pos;Smartphone;;;4;4;4;4
15;pos;Smartphone;;;4;4;5;4
16;pos;Smartphone;;;5;5;5;4
17;pos;Smartphone;;;3;3;4;4
18;pos;Smartphone;;;4;4;4;4
19;pos;Smartphone;;;4;4;4;4
20;pos;Smartphone;;;2;3;3;3
1;pre;Documentary;4;3;3;4;4;4
2;pre;Documentary;2;2;3;3;3;3
3;pre;Documentary;4;4;3;4;4;4
4;pre;Documentary;4;3;3;3;4;4
5;pre;Documentary;2;3;3;3;4;3
6;pre;Documentary;4;;3;3;4;3
7;pre;Documentary;4;3;3;4;4;4
8;pre;Documentary;4;3;3;4;4;3
9;pre;Documentary;3;3;3;4;4;4
10;pre;Documentary;4;3;3;3;4;4
11;pre;Documentary;5;4;4;3;5;5
12;pre;Documentary;3;4;4;5;4;4
13;pre;Documentary;5;2;2;2;2;3
14;pre;Documentary;4;3;3;3;4;4
15;pre;Documentary;4;4;4;4;4;4
16;pre;Documentary;4;4;3;4;4;4
17;pre;Documentary;3;3;3;3;4;4
18;pre;Documentary;4;3;4;2;2;4
19;pre;Documentary;3;2;3;3;4;5
20;pre;Documentary;3;3;3;3;4;4
1;pos;Documentary;;;3;4;4;4
2;pos;Documentary;;;4;3;4;4
3;pos;Documentary;;;4;3;4;4
4;pos;Documentary;;;4;4;4;4
5;pos;Documentary;;;3;3;3;3
6;pos;Documentary;;;3;3;4;3
7;pos;Documentary;;;2;3;4;4
8;pos;Documentary;;;2;3;4;4
9;pos;Documentary;;;4;3;4;4
10;pos;Documentary;;;3;3;4;4
11;pos;Documentary;;;4;5;5;5
12;pos;Documentary;;;5;5;5;4
13;pos;Documentary;;;1;2;1;3
14;pos;Documentary;;;3;4;4;4
15;pos;Documentary;;;4;5;5;4
16;pos;Documentary;;;3;4;4;4
17;pos;Documentary;;;3;3;4;4
18;pos;Documentary;;;3;4;2;3
19;pos;Documentary;;;5;5;5;5
20;pos;Documentary;;;3;3;4;4
